player_uid,player_name,highest_score,latest_score,matches,wins
446987292,wonyoung,4810,4810,184,109
1005521403,kirrlinne,4577,4577,267,138
1091733860,PONG PING PONG,4593,4593,157,86
483060564,Unknown,NaN,NaN,0,0
303396251,TTV Matty_1v9,5003,5003,543,291
860653516,Irelea,4701,4701,577,273
2101405696,Unknown,NaN,NaN,0,0
1242232194,Unknown,NaN,NaN,0,0
627151871,Unknown,NaN,NaN,0,0
2005613144,Mehrsaa,4766,4766,621,321
1571458310,Unknown,NaN,NaN,0,0
1090011157,Unknown,NaN,NaN,0,0
876351194,just_corbin,4781,4781,401,198
174968084,Unknown,NaN,NaN,0,0
1220878537,Unknown,NaN,NaN,0,0
1105416050,EQucible,4806,4806,444,237
53840747,Unknown,NaN,NaN,0,0
854979989,Unknown,NaN,NaN,0,0
1446186183,KaiCenat,4963,4963,122,79
1081940289,paristonhill,4736,4736,75,46
1263905872,ManDude12345,4448,4448,14,12
1117493308,Gdízzle,5045,5045,90,63
719657408,nickster501,3000,3000,12,4
2121241847,Unknown,NaN,NaN,0,0
1996036911,Unknown,NaN,NaN,0,0
1150093434,Unknown,NaN,NaN,0,0
2008884097,Unknown,NaN,NaN,0,0
126124044,byan4l,4721,4721,231,124
1011657231,Albralelie,4749,4749,263,141
640154226,Unknown,NaN,NaN,0,0
754270942,ZWE_OW,4944,4944,290,158
2027801704,ThanosEnjoyer1,5012,5012,72,52
736625255,Kîtsunê,4744,4744,64,46
342453167,ItsGBA,5042,5042,460,244
14954785,Docket,4750,4750,424,213
93531613,Kolvanzik,4812,4812,385,195
1329385160,P_ixh,4917,4917,424,228
1769617611,Unknown,NaN,NaN,0,0
271665489,joe shmoe mama,4988,4988,106,70
1186707363,Teleopsia,4987,4987,265,155
412669607,Calibarn3876,4821,4821,66,45
1648064901,Unknown,NaN,NaN,0,0
850892210,Kehmicals,4851,4851,232,134
1005118478,ttv teleopsia,4964,4964,210,123
173808124,Unknown,NaN,NaN,0,0
799509559,Unknown,NaN,NaN,0,0
1415918181,Unknown,NaN,NaN,0,0
1258920609,Unknown,NaN,NaN,0,0
1494181394,Unknown,NaN,NaN,0,0
1412845468,Unknown,NaN,NaN,0,0
346278068,thelongestone,4862,4862,237,138
364085840,AR7GG,4291,4291,74,48
1788946758,424,4981,4981,317,179
438467883,6seven,4835,4835,332,174
1909500392,PREDATOR.,4402,4402,453,217
1569818973,Unknown,NaN,NaN,0,0
654554312,OG Miku,4123,4123,65,41
19528561,Unknown,NaN,NaN,0,0
1673982496,Unknown,NaN,NaN,0,0
601492028,Stbui,4506,4506,164,85
225509381,Unknown,NaN,NaN,0,0
592030514,Unknown,NaN,NaN,0,0
1910183020,DuckZy,4754,4754,188,101
1667866402,Vontumbles,4727,4727,283,150
673091966,Unknown,NaN,NaN,0,0
1376965164,OohEeAohAhAh,3969,3969,110,65
491937821,・ ・ ・ ・,4773,4773,165,112
427012200,Xakan,4222,4222,194,109
325319890,ѕki,4878,4878,150,100
1641905320,S76M,4997,4997,320,208
1818952994,hunchotony3x,4929,4929,217,134
155348658,сrucifix,4758,4758,147,80
219895584,Unknown,NaN,NaN,0,0
1032386021,Unknown,NaN,NaN,0,0
835173331,Unknown,NaN,NaN,0,0
349198229,군계일학,5002,5002,97,64
1963658065,MantazTI,5010,5010,400,219
1810403720,TipDip,4562,4562,490,242
1579089340,thanos aura,5020,5020,466,246
346966595,LukaOnTwitch,5059,5059,423,228
168546942,1ndebt,4894,4894,586,291
1807219409,Tylar Son,4724,4724,339,174
352347200,6von,4764,4764,226,123
1595071370,brock¹,4848,4848,697,343
547394665,Unknown,NaN,NaN,0,0
798050615,Unknown,NaN,NaN,0,0
112887111,Unknown,NaN,NaN,0,0
645868275,Unknown,NaN,NaN,0,0
1542032408,duoking1,4928,4928,250,165
1882718236,seerene,4825,4825,79,59
1632463162,nx >_<,4959,4959,374,214
1796197965,aeroz,4996,4996,338,187
421344569,Menacegn,4822,4822,301,162
1875668629,Gozen,5022,5022,543,289
1822747089,Unknown,NaN,NaN,0,0
2033029318,Unknown,NaN,NaN,0,0
880407599,Unknown,NaN,NaN,0,0
1454715015,Unknown,NaN,NaN,0,0
282356420,Unknown,NaN,NaN,0,0
1226788379,Unknown,NaN,NaN,0,0
457563058,Unknown,NaN,NaN,0,0
664256497,Slurnt_,4992,4992,339,187
753664147,Unknown,NaN,NaN,0,0
2074286641,Unknown,NaN,NaN,0,0
78820916,３３３,4721,4721,185,97
1910627790,KAZUYA水,,,25,18
275073790,El Tamer,3748,3748,108,65
1509346723,Unknown,NaN,NaN,0,0
512437000,Unknown,NaN,NaN,0,0
1073720248,jinwuu,4503,4503,140,84
739659657,jinnw,3849,3849,60,38
1857569812,Acetylcholine0,3714,3714,185,94
1188095451,Unknown,NaN,NaN,0,0
1338791437,Unknown,NaN,NaN,0,0
1848553814,NoWindex,4949,4949,677,349
1373443767,GunnerGDH,4936,4936,205,118
